Name,geo_loc
River North,"(33.5781697, -83.9124073)"
Magnificent Mile,"(41.8945229, -87.624228)"
Lincoln Park,"(42.2505943, -83.1785361)"
West Loop,"(44.404208999999994, -70.14283856818182)"
Loop,"(-37.2314643, -65.3972948)"
Avondale,"(33.4354989, -112.3495572)"
Gold Coast,"(-28.0023731, 153.4145987)"
Wicker Park,"(41.9078018, -87.6781551)"
North Center,"(41.9561073, -87.6791596)"
Uptown,"(29.9364059, -90.101181)"
Streeterville,"(41.8933653, -87.6219967)"
South Loop,"(41.8617846, -87.6261213)"
"Renaissance Blackstone Chicago Hotel, Loop",
Lakeview,"(42.1887721, -120.345792)"
Wheeling,"(42.1250895, -87.92928067299763)"
Edgewater,"(40.8270448, -73.975694)"
Logan Square,"(41.9285683, -87.7067931)"
Greektown,"(39.2852142, -76.5534458)"
Near North Side,"(41.9000327, -87.6344975)"
Norwood Park,"(51.4248597, -0.09464654026073546)"
Schaumburg,"(42.0333608, -88.083406)"
Andersonville,"(32.1959947, -84.1399085)"
River Grove,"(41.9258642, -87.8358943)"
Naperville,"(41.7728699, -88.1479278)"
Lincolnwood,"(42.0055985, -87.735572)"
Bucktown,"(40.1747599, -75.6625203)"
